fitness,schedule,max_attempts,max_iters,n_invocations
5.0,GeomDecay,10,1000,1511
5.0,GeomDecay,10,1000,1511
5.0,GeomDecay,10,1000,1511
5.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
9.0,GeomDecay,10,1000,1511
